
[ERR] Failed to insert documents to DB (2030094, 2030179): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2030696, 2030781): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2030868, 2030953): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2030954, 2031039): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2031298, 2031383): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2169930, 2170015): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2170102, 2170187): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2170188, 2170273): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2170360, 2170445): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (2170274, 2170359): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
